"pMLSNumber","pOfficeMLSCode","pMLSKey","pHeadline","pScrollingText","pScrollingTextFont","pScrollingTextWeigt","pScrollingTextColor","pScrollingTextSize","pRealtorDescription","pRealtorDescriptionDisplay","pOpenHouseMonth","pOpenHouseDay","pOpenHouseYear","pOpenHouseStart","pOpenHouseEnd","pOpenHouseRefreshments","pOpenHouseHeading","pOpenHouseAddress","pOpenHouseCity","pOpenHouseState","pOpenHousePostalCode","pOpenHouseComments","pOpenHousePhoneType","pOpenHousePhoneAreaCode","pOpenHousePhonePrefix","pOpenHousePhoneSuffix","pOpenHousePhoneExt","pOpenHouseMonth1","pOpenHouseDay1","pOpenHouseYear1","pOpenHouseStart1","pOpenHouseEnd1","pOpenHouseRefreshments1","pOpenHouseHeading1","pOpenHouseAddress1","pOpenHouseCity1","pOpenHouseState1","pOpenHousePostalCode1","pOpenHouseComments1","pOpenHousePhoneType1","pOpenHousePhoneAreaCode1","pOpenHousePhonePrefix1","pOpenHousePhoneSuffix1","pOpenHousePhoneExt1","pOpenHouseMonth2","pOpenHouseDay2","pOpenHouseYear2","pOpenHouseStart2","pOpenHouseEnd2","pOpenHouseRefreshments2","pOpenHouseHeading2","pOpenHouseAddress2","pOpenHouseCity2","pOpenHouseState2","pOpenHousePostalCode2","pOpenHouseComments2","pOpenHousePhoneType2","pOpenHousePhoneAreaCode2","pOpenHousePhonePrefix2","pOpenHousePhoneSuffix2","pOpenHousePhoneExt2","pOpenHouseMonth3","pOpenHouseDay3","pOpenHouseYear3","pOpenHouseStart3","pOpenHouseEnd3","pOpenHouseRefreshments3","pOpenHouseHeading3","pOpenHouseAddress3","pOpenHouseCity3","pOpenHouseState3","pOpenHousePostalCode3","pOpenHouseComments3","pOpenHousePhoneType3","pOpenHousePhoneAreaCode3","pOpenHousePhonePrefix3","pOpenHousePhoneSuffix3","pOpenHousePhoneExt3","pOpenHouseMonth4","pOpenHouseDay4","pOpenHouseYear4","pOpenHouseStart4","pOpenHouseEnd4","pOpenHouseRefreshments4","pOpenHouseHeading4","pOpenHouseAddress4","pOpenHouseCity4","pOpenHouseState4","pOpenHousePostalCode4","pOpenHouseComments4","pOpenHousePhoneType4","pOpenHousePhoneAreaCode4","pOpenHousePhonePrefix4","pOpenHousePhoneSuffix4","pOpenHousePhoneExt4","pVirtualTourURL"
"20170206","apin01","CRIA",,,,,,,"Enjoy all the comforts of a custom Tahoe Donner home at a fraction of the cost! Located in the most popular golf course neighborhood. Luxurious mountain home professionally decorated. Plasma TV's , hot tub & designer furnishings. Access to all the amenities Tahoe Donner has to offer at 1/6 the cost. Great opportunity at a price most can afford with this shared ownership!","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20171019","apin01","CRIA",,,,,,,"A wonderful house located off Old County Rd. Views of Lake Tahoe, close to Tahoe City for local shopping and dining. Within minutes of local hiking and biking trails. Near many local ski areas as well as cross country trails. Vaulted ceilings in the living room granite counter tops and wood accents throughout the home. A large deck for enjoying a summer BBQ or taking in the views of the lake. A smaller private deck off 2 of the bedrooms for use of the hot tub. A great home for all Tahoe has to offer!","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://skaggsphoto.net/unbranded_tours/3658_lacrosseDr/"
"20171042","apin01","CRIA",,,,,,,"Beautiful Ward-Young designed home located on a sunny lot with amazing views on a quiet cul-de-sac at the top of prestigious Juniper Mountain. This property features a grand master bedroom with gas fireplace, spacious walk in closet, steam/dual shower & deck with room for a spa, plus 2 additional en suite bedrooms. Luxury extras include: Media/Recreation room, gym, office, heated garage and exquisite wine cellar. Snowshoe and XC ski from home or enjoy world class skiing at Squaw Valley or Alpine.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.tourfactory.com/idxr1485401"
"20172476","apin01","CRIA",,,,,,,"Nestled in the forest, this unique style 3 bedroom home has high beamed ceilings in the living room and kitchen. Redbrick fireplace with extra-long hearth accents the living room. Large back deck to enjoy the long summer days! Located between Tahoe City and Kings Beach for shopping and dining and right up the street from beautiful Lake Tahoe! Close to many local ski area, hiking and mountain biking trails.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://skaggsphoto.net/unbranded_tours/5966_ophirSt/"
"20172728","apin01","CRIA",,,,,,,"Enjoy this wonderful home with lake views from both decks and 2 of the 4 bedrooms. Lot adjacent to the home is also included in the sale (260 Park Lane). Close to Kings Beach for local dining, shopping and public beaches. Take advantage of all the local biking and hiking trails right outside your front door. Near several ski areas. Home backs to Forest Service land. Great rental opportunity and a must see home!","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://skaggsphoto.net/unbranded_tours/258_parkLn/"
"20173094","apin01","CRIA",,,,,,,"Every place in this incredible home provides a unique, special and spectacular view of the lake or creek. The Phoenix House is a one of a kind home. This modern, reclaimed redwood home is literally embedded into the hillside and nature spanning four floors with decks on every level. The home was created to live with nature; surrounding a granite boulder, a cedar tree, and an authentic Indian grinding stone, the home is set over a creek which provides a transformative experience.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://skaggsphoto.net/unbranded_tours/444_nightingaleRd/"
"20173268","apin01","CRIA",,,,,,,"Beautiful mountain home located along the Yuba River. This four bedroom, 3 1/2 bathroom home has two master suite bedrooms, a spacious open floor plan, granite counter tops in the kitchen and two decks off the bedrooms and living area to enjoy the views! Great natural light in all the bedrooms and the living area. Close to local ski areas, hiking, and mountain biking trails. Pla Vada Woodlands Community Association dues cover water, sewer, trash, snow removal and beach area on the Yuba River.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://skaggsphoto.net/unbranded_tours/50689_coniferDr/"
"20180092","apin01","CRIA",,,,,,,"Incredible mountain home offers three bedrooms plus a bonus room. Stunning vaulted ceilings, granite counter tops, and surrounded by greenbelt. This private location at the end of Park Ave gives you access to local biking and hiking trails right out your front door. Close to several local ski areas, shopping, and dining options. Within minutes to the HOA pier and adjacent beach.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://skaggsphoto.net/unbranded_tours/760_parkAve/"
"21608061","7ZAPR10","CRIA",,,,,,,"Spectacular California ranch features ocean views and Garcia River frontage. Located 10 minutes east of Point Arena, this unique ranch is appx. 1,058 acres and includes: appx. 150 acres of useable agricultural land; certificates of compliance for six legal parcels; 12+/- million board feet of timber with about 60% redwood; and excellent roads. Enjoy an outdoor recreational adventure with hiking, biking, hunting, fishing, swimming and kayaking.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://vimeo.com/162759938"
"21709846","7ZAPR10","CRIA",,,,,,,"Breathtaking estate property offering 258.47+/- acres with rolling hills, 4+/- acre vineyard, horse trails, pastures, and spectacular 360 views, yet is just minutes to downtown Santa Rosa and Calistoga. The main house is a gorgeous Mediterranean style with rich wood beams, three fireplaces, gourmet kitchen, wine cave, 8' Alder doors, and dining patio. There is a second residence, guest house, and custom barn, all thoughtfully sited for privacy.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.plumranchestate.com"
"21712986","7ZAPR13","CRIA",,,,,,,"This quiet 2bd/2ba ground floor end unit has a beautiful large fenced in private patio perfect for indoor/outdoor living, gardeners, pets, kids. New carpets, fresh paint, SS appliances & granite counters. W/D in unit. Mill Valley school district. EV charging station. Renovated pool, tennis courts, clubhouse. 4 community docks for easy access to bay. Prime location with easy access to bike paths, Marin Airporter/bus, SF, restaurants, shops.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21715531","7ZAPR6","CRIA",,,,,,,"Terrific value for this spacious, resort-like gated home with stunning views of Mt. Tam and gracious areas for entertaining inside and out. The beautiful pool, finished with Italian ceramic tile, Jacuzzi and patios flanked by a fireplace and fountain, are at the center of this truly special home. Easy access to all of Marin, San Francisco and beyond.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://58BretHarteLane.com"
"21723872","7ZAPR6","CRIA",,,,,,,"Imagine living a new and dynamic experience in a unique setting in Marin's most eclectic community-Smith Ranch Homes(55+).Set on over 30 acres of pristine land with bucolic views, it is home to many artists,musicians,writers, attorneys,professors&business owners from all parts of the world.Boasting innumerable amenities&services,two restaurants,pool/spa,exercise facility, housekeeping and valet service,banking,salon,boutique and so much more.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.300DeerValleyRoad4F.com"
"21725064","AHALL02","CRIA",,,,,,,"Bright, beautiful, and well designed, this townhouse has a wonderful floor plan with lovely views. Features: Large open floor plan with dining area, living room with vaulted ceiling, views and a private view deck; well designed kitchen; three bedrooms including a luxurious master suite; two full baths plus powder room; laundry; parking; storage. The location is ideal with access to Golden Gate National Recreation Area, and open space for hiking.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21725738","7ZAPR6","CRIA",,,,,,,"Spectacular views from every room in stunning renovated classic 4BR/4BA,3148 sq ft Kentfield home in award winning RossSchoolDistrict.Resort living with newly refinished pool and expansive decks w/incredible views of Mt Tam,Ross Valley and Bay.Remodeled kitchen w/new granite counter tops,new master bath and closets. Large formal LR,DR,FR and dining patio.Refinished hardwood floors throughout.2car side-by-side attached garage+elevator to all flrs.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21726727","7ZAPR10","CRIA",,,,,,,"Super clean single level 3 bedroom, 2 bath home with vaulted ceilings, great natural light and an open floor plan . New interior paint and carpet, free standing fireplace in living room, master bedroom with bath and walk-in closet. 2 car garage. New drought resistant landscaping in front yard. . Across the street from Lawrence Cook Middle School, on the field side.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21727410","7ZAPR12","CRIA",,,,,,,"Lovely 2 bedroom, 1 bath unit with outside patio. Newer floors, recently painted, shows well. Conveniently location to nearby shopping, freeways, Smart Train, YMCA, Hamilton Pool, Bay Trail, Airporter, Hamilton Market. Parks nearby with children's playground, and picnic areas. Rear patio is has direct access to green belt and full sized storage unit located in the patio area.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
